model;outcome;spec;term;coefficient;effect_IRR;standard_error;confidence_interval;ci_low_IRR;ci_high_IRR;p_value;n_observations;interpretation;extra
ITS-Poisson;Ремень безопасности;MAY;time_after;-0.00813;0.9919;0.01014;"[0.972; 1.012]";0.9724;1.0118;0.42253;122;изменение тренда: IRR=0.992, p=0.4225;
ITS-NegBin;Ремень безопасности;MAY;post;1.11491;3.0493;0.23789;"[1.913; 4.861]";1.913;4.8607;0.0;122;скачок уровня: IRR=3.049, p=0.0000;
ITS-NegBin;Ремень безопасности;MAY;time_after;-0.00774;0.9923;0.00941;"[0.974; 1.011]";0.9742;1.0108;0.41059;122;изменение тренда: IRR=0.992, p=0.4106;
ITS-Poisson;Платная дорога;MAY;post;-1.2106;0.298;0.23064;"[0.190; 0.468]";0.1896;0.4684;0.0;122;скачок уровня: IRR=0.298, p=0.0000;
ITS-Poisson;Платная дорога;MAY;time_after;0.01208;1.0121;0.00803;"[0.996; 1.028]";0.9963;1.0282;0.1328;122;изменение тренда: IRR=1.012, p=0.1328;
ITS-NegBin;Платная дорога;MAY;post;-1.13632;0.321;0.1841;"[0.224; 0.460]";0.2238;0.4605;0.0;122;скачок уровня: IRR=0.321, p=0.0000;
ITS-NegBin;Платная дорога;MAY;time_after;0.00943;1.0095;0.00693;"[0.996; 1.023]";0.9959;1.0233;0.1735;122;изменение тренда: IRR=1.009, p=0.1735;
ITS-Poisson;Световые приборы;MAY;post;0.40621;1.5011;0.43797;"[0.636; 3.542]";0.6362;3.5418;0.35367;122;скачок уровня: IRR=1.501, p=0.3537;
ITS-Poisson;Световые приборы;MAY;time_after;-0.03873;0.962;0.03063;"[0.906; 1.022]";0.906;1.0215;0.20617;122;изменение тренда: IRR=0.962, p=0.2062;
ITS-NegBin;Световые приборы;MAY;post;0.42962;1.5367;0.44175;"[0.646; 3.653]";0.6465;3.6526;0.33078;122;скачок уровня: IRR=1.537, p=0.3308;
ITS-NegBin;Световые приборы;MAY;time_after;-0.03491;0.9657;0.03005;"[0.910; 1.024]";0.9105;1.0243;0.24529;122;изменение тренда: IRR=0.966, p=0.2453;
ITS-Poisson;Все нарушения;MAY;post;0.32233;1.3803;0.07803;"[1.185; 1.608]";1.1846;1.6084;4e-05;122;скачок уровня: IRR=1.380, p=0.0000;
ITS-Poisson;Все нарушения;MAY;time_after;0.00362;1.0036;0.00224;"[0.999; 1.008]";0.9992;1.008;0.10588;122;изменение тренда: IRR=1.004, p=0.1059;
ITS-NegBin;Все нарушения;MAY;post;0.32007;1.3772;0.08391;"[1.168; 1.623]";1.1684;1.6234;0.00014;122;скачок уровня: IRR=1.377, p=0.0001;
ITS-NegBin;Все нарушения;MAY;time_after;0.00355;1.0036;0.00223;"[0.999; 1.008]";0.9992;1.008;0.1109;122;изменение тренда: IRR=1.004, p=0.1109;
ITS-Poisson;Composite (манёвренные);JUN;post;-0.06402;0.938;0.09265;"[0.782; 1.125]";0.7822;1.1248;0.48959;122;скачок уровня: IRR=0.938, p=0.4896;
ITS-Poisson;Composite (манёвренные);JUN;time_after;-0.02036;0.9798;0.00416;"[0.972; 0.988]";0.9719;0.9879;0.0;122;изменение тренда: IRR=0.980, p=0.0000;
ITS-NegBin;Composite (манёвренные);JUN;post;-0.0573;0.9443;0.10232;"[0.773; 1.154]";0.7727;1.154;0.57549;122;скачок уровня: IRR=0.944, p=0.5755;
ITS-NegBin;Composite (манёвренные);JUN;time_after;-0.01964;0.9806;0.00439;"[0.972; 0.989]";0.9721;0.989;1e-05;122;изменение тренда: IRR=0.981, p=0.0000;
ITS-Poisson;Нарушение разметки;JUN;post;0.10921;1.1154;0.15798;"[0.818; 1.520]";0.8184;1.5202;0.48939;122;скачок уровня: IRR=1.115, p=0.4894;
ITS-Poisson;Нарушение разметки;JUN;time_after;-0.03524;0.9654;0.00709;"[0.952; 0.979]";0.952;0.9789;0.0;122;изменение тренда: IRR=0.965, p=0.0000;
ITS-NegBin;Нарушение разметки;JUN;post;0.14645;1.1577;0.18136;"[0.811; 1.652]";0.8114;1.6519;0.41938;122;скачок уровня: IRR=1.158, p=0.4194;
ITS-NegBin;Нарушение разметки;JUN;time_after;-0.03323;0.9673;0.00717;"[0.954; 0.981]";0.9538;0.981;0.0;122;изменение тренда: IRR=0.967, p=0.0000;
ITS-Poisson;Остановка/стоянка в неположенном месте;JUN;post;0.09001;1.0942;0.13705;"[0.836; 1.431]";0.8364;1.4314;0.51132;122;скачок уровня: IRR=1.094, p=0.5113;
ITS-Poisson;Остановка/стоянка в неположенном месте;JUN;time_after;0.0082;1.0082;0.00547;"[0.997; 1.019]";0.9975;1.0191;0.13383;122;изменение тренда: IRR=1.008, p=0.1338;
ITS-NegBin;Остановка/стоянка в неположенном месте;JUN;post;0.08993;1.0941;0.13766;"[0.835; 1.433]";0.8354;1.433;0.51357;122;скачок уровня: IRR=1.094, p=0.5136;
ITS-NegBin;Остановка/стоянка в неположенном месте;JUN;time_after;0.0082;1.0082;0.00549;"[0.997; 1.019]";0.9974;1.0191;0.13553;122;изменение тренда: IRR=1.008, p=0.1355;
ITS-Poisson;Пересечение стоп-линии;JUN;post;-0.40932;0.6641;0.11586;"[0.529; 0.833]";0.5292;0.8334;0.00041;122;скачок уровня: IRR=0.664, p=0.0004;
ITS-Poisson;Пересечение стоп-линии;JUN;time_after;-0.00965;0.9904;0.00495;"[0.981; 1.000]";0.9808;1.0001;0.05137;122;изменение тренда: IRR=0.990, p=0.0514;
ITS-NegBin;Пересечение стоп-линии;JUN;post;-0.40928;0.6641;0.11637;"[0.529; 0.834]";0.5287;0.8343;0.00044;122;скачок уровня: IRR=0.664, p=0.0004;
ITS-NegBin;Пересечение стоп-линии;JUN;time_after;-0.00965;0.9904;0.00498;"[0.981; 1.000]";0.9808;1.0001;0.05243;122;изменение тренда: IRR=0.990, p=0.0524;
ITS-Poisson;Движение по обочине;JUN;post;-1.22359;0.2942;0.34531;"[0.150; 0.579]";0.1495;0.5788;0.00039;122;скачок уровня: IRR=0.294, p=0.0004;
ITS-Poisson;Движение по обочине;JUN;time_after;-0.00041;0.9996;0.01295;"[0.975; 1.025]";0.9745;1.0253;0.97483;122;изменение тренда: IRR=1.000, p=0.9748;
ITS-NegBin;Движение по обочине;JUN;post;-1.23843;0.2898;0.35817;"[0.144; 0.585]";0.1436;0.5848;0.00054;122;скачок уровня: IRR=0.290, p=0.0005;
ITS-NegBin;Движение по обочине;JUN;time_after;-0.00058;0.9994;0.01314;"[0.974; 1.025]";0.974;1.0255;0.9646;122;изменение тренда: IRR=0.999, p=0.9646;
ITS-Poisson;Движение по выделенной полосе;JUN;post;-0.25029;0.7786;0.19;"[0.536; 1.130]";0.5365;1.1299;0.18774;122;скачок уровня: IRR=0.779, p=0.1877;
ITS-Poisson;Движение по выделенной полосе;JUN;time_after;-0.00943;0.9906;0.00545;"[0.980; 1.001]";0.9801;1.0013;0.08355;122;изменение тренда: IRR=0.991, p=0.0835;
ITS-NegBin;Движение по выделенной полосе;JUN;post;-0.26168;0.7698;0.19021;"[0.530; 1.118]";0.5302;1.1175;0.1689;122;скачок уровня: IRR=0.770, p=0.1689;
ITS-NegBin;Движение по выделенной полосе;JUN;time_after;-0.00941;0.9906;0.00522;"[0.981; 1.001]";0.9806;1.0008;0.07126;122;изменение тренда: IRR=0.991, p=0.0713;
ITS-Poisson;Использование телефона за рулём;JUN;post;-0.06097;0.9409;0.09861;"[0.775; 1.141]";0.7755;1.1415;0.53639;122;скачок уровня: IRR=0.941, p=0.5364;
ITS-Poisson;Использование телефона за рулём;JUN;time_after;-0.02407;0.9762;0.00434;"[0.968; 0.985]";0.9679;0.9846;0.0;122;изменение тренда: IRR=0.976, p=0.0000;
ITS-NegBin;Использование телефона за рулём;JUN;post;-0.06452;0.9375;0.10243;"[0.767; 1.146]";0.767;1.1459;0.52875;122;скачок уровня: IRR=0.938, p=0.5287;
ITS-NegBin;Использование телефона за рулём;JUN;time_after;-0.0234;0.9769;0.00452;"[0.968; 0.986]";0.9683;0.9856;0.0;122;изменение тренда: IRR=0.977, p=0.0000;
ITS-Poisson;Превышение 20-40 км/ч;JUN;post;-0.0649;0.9372;0.03136;"[0.881; 0.997]";0.8813;0.9966;0.0385;122;скачок уровня: IRR=0.937, p=0.0385;
ITS-Poisson;Превышение 20-40 км/ч;JUN;time_after;-0.00816;0.9919;0.00177;"[0.988; 0.995]";0.9884;0.9953;0.0;122;изменение тренда: IRR=0.992, p=0.0000;
ITS-NegBin;Превышение 20-40 км/ч;JUN;post;-0.06017;0.9416;0.03412;"[0.881; 1.007]";0.8807;1.0067;0.07782;122;скачок уровня: IRR=0.942, p=0.0778;
ITS-NegBin;Превышение 20-40 км/ч;JUN;time_after;-0.00832;0.9917;0.00189;"[0.988; 0.995]";0.988;0.9954;1e-05;122;изменение тренда: IRR=0.992, p=0.0000;
ITS-Poisson;Ремень безопасности;JUN;post;-0.2825;0.7539;0.18853;"[0.521; 1.091]";0.521;1.0909;0.13401;122;скачок уровня: IRR=0.754, p=0.1340;
ITS-Poisson;Ремень безопасности;JUN;time_after;-0.0284;0.972;0.00449;"[0.963; 0.981]";0.9635;0.9806;0.0;122;изменение тренда: IRR=0.972, p=0.0000;
ITS-NegBin;Ремень безопасности;JUN;post;-0.36373;0.6951;0.22007;"[0.452; 1.070]";0.4516;1.0699;0.09837;122;скачок уровня: IRR=0.695, p=0.0984;
ITS-NegBin;Ремень безопасности;JUN;time_after;-0.03023;0.9702;0.00468;"[0.961; 0.979]";0.9614;0.9792;0.0;122;изменение тренда: IRR=0.970, p=0.0000;
ITS-Poisson;Платная дорога;JUN;post;-0.3071;0.7356;0.19508;"[0.502; 1.078]";0.5019;1.0782;0.11544;122;скачок уровня: IRR=0.736, p=0.1154;
ITS-Poisson;Платная дорога;JUN;time_after;0.05392;1.0554;0.00699;"[1.041; 1.070]";1.041;1.07;0.0;122;изменение тренда: IRR=1.055, p=0.0000;
ITS-NegBin;Платная дорога;JUN;post;-0.33361;0.7163;0.19426;"[0.490; 1.048]";0.4895;1.0483;0.08591;122;скачок уровня: IRR=0.716, p=0.0859;
ITS-NegBin;Платная дорога;JUN;time_after;0.05342;1.0549;0.00655;"[1.041; 1.068]";1.0414;1.0685;0.0;122;изменение тренда: IRR=1.055, p=0.0000;
ITS-Poisson;Световые приборы;JUN;post;-0.24783;0.7805;0.28384;"[0.447; 1.361]";0.4475;1.3614;0.38258;122;скачок уровня: IRR=0.780, p=0.3826;
ITS-Poisson;Световые приборы;JUN;time_after;-0.02505;0.9753;0.00901;"[0.958; 0.993]";0.9582;0.9926;0.00544;122;изменение тренда: IRR=0.975, p=0.0054;
ITS-NegBin;Световые приборы;JUN;post;-0.25972;0.7713;0.29797;"[0.430; 1.383]";0.4301;1.3831;0.38341;122;скачок уровня: IRR=0.771, p=0.3834;
