model;outcome;spec;term;coefficient;effect_IRR;standard_error;confidence_interval;ci_low_IRR;ci_high_IRR;p_value;n_observations;interpretation;extra
DiD (FE клиента, усл. Пуассон);Превышение 20-40 км/ч;MAY;treated×post;-0.09751;0.9071;0.05216;"[0.819; 1.005]";0.8189;1.0047;0.06154;21904;доп. эффект для связанных лимитом, IRR=0.907;
DiD (FE клиента, усл. Пуассон);Ремень безопасности;MAY;treated×post;-0.21388;0.8074;0.22667;"[0.518; 1.259]";0.5178;1.2591;0.34538;2888;доп. эффект для связанных лимитом, IRR=0.807;
DiD (FE клиента, усл. Пуассон);Все нарушения;MAY;treated×post;-0.12064;0.8863;0.04643;"[0.809; 0.971]";0.8093;0.9708;0.00936;24440;доп. эффект для связанных лимитом, IRR=0.886;
DiD (FE клиента, усл. Пуассон);Composite (манёвренные);JUN;treated×post;0.02131;1.0215;0.12489;"[0.800; 1.305]";0.7997;1.3049;0.8645;5944;доп. эффект для связанных лимитом, IRR=1.022;
DiD (FE клиента, усл. Пуассон);Нарушение разметки;JUN;treated×post;0.32072;1.3781;0.18059;"[0.967; 1.963]";0.9673;1.9634;0.07573;3304;доп. эффект для связанных лимитом, IRR=1.378;
DiD (FE клиента, усл. Пуассон);Остановка/стоянка в неположенном месте;JUN;treated×post;-0.38103;0.6832;0.31273;"[0.370; 1.261]";0.3701;1.261;0.22308;1016;доп. эффект для связанных лимитом, IRR=0.683;
DiD (FE клиента, усл. Пуассон);Пересечение стоп-линии;JUN;treated×post;0.19929;1.2205;0.3286;"[0.641; 2.324]";0.641;2.3241;0.54419;924;доп. эффект для связанных лимитом, IRR=1.221;
DiD (FE клиента, усл. Пуассон);Движение по обочине;JUN;treated×post;-0.33437;0.7158;0.7585;"[0.162; 3.165]";0.1619;3.1655;0.65934;504;доп. эффект для связанных лимитом, IRR=0.716;
DiD (FE клиента, усл. Пуассон);Движение по выделенной полосе;JUN;treated×post;-0.40943;0.664;0.28171;"[0.382; 1.153]";0.3823;1.1534;0.14612;1216;доп. эффект для связанных лимитом, IRR=0.664;
DiD (FE клиента, усл. Пуассон);Использование телефона за рулём;JUN;treated×post;0.19773;1.2186;0.25325;"[0.742; 2.002]";0.7418;2.0019;0.43495;1416;доп. эффект для связанных лимитом, IRR=1.219;
DiD (FE клиента, усл. Пуассон);Превышение 20-40 км/ч;JUN;treated×post;-0.11714;0.8895;0.04824;"[0.809; 0.978]";0.8092;0.9777;0.01518;21904;доп. эффект для связанных лимитом, IRR=0.889;
DiD (FE клиента, усл. Пуассон);Ремень безопасности;JUN;treated×post;-0.09744;0.9072;0.17984;"[0.638; 1.291]";0.6377;1.2905;0.58795;2888;доп. эффект для связанных лимитом, IRR=0.907;
DiD (FE клиента, усл. Пуассон);Все нарушения;JUN;treated×post;-0.0924;0.9117;0.0432;"[0.838; 0.992]";0.8377;0.9923;0.03245;24440;доп. эффект для связанных лимитом, IRR=0.912;
Placebo-дата (ITS-Poisson);Composite (манёвренные);FAKE 2026-04-25;post;0.29303;1.3405;0.2141;"[0.881; 2.039]";0.8811;2.0394;0.17111;0;фиктивная дата внутри докризисного периода;
Placebo-дата (ITS-Poisson);Composite (манёвренные);FAKE 2026-05-01;post;0.50303;1.6537;0.2272;"[1.059; 2.581]";1.0594;2.5814;0.02682;0;фиктивная дата внутри докризисного периода;
Placebo-дата (ITS-Poisson);Composite (манёвренные);FAKE 2026-05-15;post;0.69919;2.0121;0.14828;"[1.505; 2.691]";1.5046;2.6907;0.0;0;фиктивная дата внутри докризисного периода;
Placebo-дата (ITS-Poisson);Composite (манёвренные);FAKE 2026-06-01;post;0.0657;1.0679;0.16812;"[0.768; 1.485]";0.7681;1.4847;0.69596;0;фиктивная дата внутри докризисного периода;
