cut;b;lo;hi;p;b_rel;p_rel
2026-04-15;0.25314994559689386;-0.13047070519874254;0.6367705963925303;0.19587370203479493;0.04402311394001995;0.802627623303587
2026-04-16;0.28608798730116053;-0.09139313642498659;0.6635691110273076;0.1374224711338399;0.06802641225619317;0.6766907398455406
2026-04-17;0.41528419546136985;0.05987373292963871;0.770694657993101;0.022010380534926318;0.2049907365283345;0.1935798394838547
2026-04-18;0.47725659142555504;0.13328159654029426;0.8212315863108158;0.006539051165955674;0.27641280909621607;0.06845483159042315
2026-04-19;0.4956995762740373;0.1409488191387797;0.850450333409295;0.006167455510881521;0.2848432661992347;0.05870309808878247
2026-04-20;0.5087587610434396;0.13512300174226538;0.882394520344614;0.007611787650000174;0.2985818840627912;0.04983182498420069
2026-04-21;0.5201998905393173;0.1274829137933784;0.9129168672852561;0.009424722950516549;0.295198941473933;0.06494593804103033
2026-04-22;0.5824808888169064;0.20362174313493758;0.9613400344988752;0.0025831930627206517;0.3801878685918469;0.0065348117900507685
2026-04-23;0.6252199756275345;0.2507825916404838;0.9996573596145852;0.0010651548835075274;0.42985199544061586;0.001482085419420914
2026-04-24;0.6993313902382197;0.35173920894972394;1.0469235715267153;8.033978417429449e-05;0.4945613098678304;0.0001215349936725166
2026-04-25;0.6106537517825225;0.18018696883900065;1.0411205347260442;0.005428750737669092;0.39371962891354645;0.024609497315337046
2026-04-26;0.6500834641590252;0.23460443171985457;1.0655624965981958;0.002164114947613374;0.4407499503578838;0.006888137538796371
2026-04-27;0.721531294630507;0.3425810343668267;1.1004815548941873;0.00019004719729882346;0.4950855769601695;0.0009868328644514765
2026-04-28;0.7767481946962903;0.421539579795262;1.1319568095973187;1.8191359951614267e-05;0.5035862915639384;0.0011059568240289724
2026-04-29;0.8487353964551781;0.5132259339595231;1.1842448589508332;7.115108869974403e-07;0.5382293356351472;0.0002855415137112397
2026-04-30;0.8303333690871206;0.47122370163879124;1.18944303653545;5.845220696204763e-06;0.5240813503499411;0.0010392161020815623
2026-05-01;0.7617064351555332;0.33171843456526623;1.1916944357458001;0.0005164787618227403;0.4864300624380654;0.0065288879616132575
2026-05-02;0.7920545480605254;0.389498872919596;1.1946102232014548;0.00011505603973598568;0.6118465352988278;6.882816200412121e-07
2026-05-03;0.8389485538738045;0.46423004121484585;1.2136670665327631;1.1429350785358158e-05;0.671474204989784;4.935472265411912e-09
2026-05-04;0.8423444346627713;0.45970950743033806;1.2249793618952045;1.5974385640949628e-05;0.6794947465506143;1.6536763126273255e-09
2026-05-05;0.8140436719019383;0.3999328251883499;1.2281545186155267;0.00011672947138134073;0.6288212803014513;2.659380317407512e-06
2026-05-06;0.8272043061471257;0.41941077479543853;1.2349978374988129;7.013227444683567e-05;0.6218395517575872;1.3124900051349401e-05
2026-05-07;0.8195961600651237;0.408323751621254;1.2308685685089933;9.385685348654732e-05;0.5934131557899228;0.0002159330087216175
2026-05-08;0.8141608231043532;0.40965721597219934;1.218664430236507;7.980946078288528e-05;0.5778196871532003;0.0005900729854343691
2026-05-09;0.7494656069519575;0.2966682402602098;1.2022629736437052;0.0011779254716939673;0.5076674218868228;0.013440734888346734
