model;outcome;spec;term;coefficient;effect_IRR;standard_error;confidence_interval;ci_low_IRR;ci_high_IRR;p_value;n_observations;interpretation
DiD (FE клиента);Движение по обочине;JUN;treated×post;-0.33437;0.7158;0.62476;"[0.210; 2.436]";0.2104;2.4355;0.59252;504;дополнительный эффект у связанных лимитом, IRR=0.716
DiD (FE клиента);Движение по выделенной полосе;JUN;treated×post;-0.40943;0.664;0.227;"[0.426; 1.036]";0.4256;1.0361;0.07128;1216;дополнительный эффект у связанных лимитом, IRR=0.664
DiD (FE клиента);Телефон за рулём;JUN;treated×post;0.19773;1.2186;0.20445;"[0.816; 1.819]";0.8163;1.8193;0.33348;1416;дополнительный эффект у связанных лимитом, IRR=1.219
DiD (FE клиента);[K] Превышение 20-40 км/ч;JUN;treated×post;-0.11706;0.8895;0.03796;"[0.826; 0.958]";0.8257;0.9582;0.00205;21908;дополнительный эффект у связанных лимитом, IRR=0.890
DiD (FE клиента);[K] Ремень безопасности;JUN;treated×post;-0.09744;0.9072;0.1466;"[0.681; 1.209]";0.6806;1.2091;0.50625;2888;дополнительный эффект у связанных лимитом, IRR=0.907
DiD (FE клиента);Все нарушения;JUN;treated×post;-0.09234;0.9118;0.03419;"[0.853; 0.975]";0.8527;0.975;0.00692;24444;дополнительный эффект у связанных лимитом, IRR=0.912
Event study;COMPOSITE-6 (гипотеза);MAY;pre-trend;0.0;1.0;0.0;"[1.000; 1.000]";1.0;1.0;1.0;14;сырой эффект: значимых доcобытийных недель 2 из 4
Event study;COMPOSITE-6 (гипотеза);MAY;pre-trend;0.0;1.0;0.0;"[1.000; 1.000]";1.0;1.0;1.0;14;относительно прочих штрафов: значимых доcобытийных недель 3 из 4
Event study;COMPOSITE-6 (гипотеза);JUN;pre-trend;0.0;1.0;0.0;"[1.000; 1.000]";1.0;1.0;1.0;15;сырой эффект: значимых доcобытийных недель 3 из 7
Event study;COMPOSITE-6 (гипотеза);JUN;pre-trend;0.0;1.0;0.0;"[1.000; 1.000]";1.0;1.0;1.0;15;относительно прочих штрафов: значимых доcобытийных недель 3 из 7
Placebo-дата;COMPOSITE-6 (гипотеза);FAKE 2026-04-25;post;0.23262;1.2619;0.19405;"[0.863; 1.846]";0.8627;1.8459;0.23062;0;фиктивная отсечка внутри докризисного периода
Placebo-дата;COMPOSITE-6 (гипотеза);FAKE 2026-05-15;post;0.6764;1.9668;0.14134;"[1.491; 2.595]";1.4909;2.5946;0.0;0;фиктивная отсечка внутри докризисного периода
Placebo-дата;COMPOSITE-6 (гипотеза);FAKE 2026-06-01;post;0.06744;1.0698;0.15986;"[0.782; 1.463]";0.782;1.4634;0.67312;0;фиктивная отсечка внутри докризисного периода
