outcome;модель;эффект;коэф;SE;p;знч;IRR
Платная дорога;ITS-OLS/NW;изменение тренда β3;0.1633;0.0337;0.0;***;
Платная дорога;ITS-Poisson;скачок уровня β2;-0.3071;0.1951;0.1154;;0.736
Платная дорога;ITS-Poisson;изменение тренда β3;0.0539;0.007;0.0;***;1.055
Платная дорога;ITS-NegBin;скачок уровня β2;-0.3336;0.1943;0.0859;*;0.716
Платная дорога;ITS-NegBin;изменение тренда β3;0.0534;0.0065;0.0;***;1.055
Световые приборы;ITS-OLS/NW;скачок уровня β2;-0.2635;0.6207;0.6712;;
Световые приборы;ITS-OLS/NW;изменение тренда β3;-0.0355;0.0167;0.033;**;
Световые приборы;ITS-Poisson;скачок уровня β2;-0.2478;0.2838;0.3826;;0.78
Световые приборы;ITS-Poisson;изменение тренда β3;-0.0251;0.009;0.0054;***;0.975
Световые приборы;ITS-NegBin;скачок уровня β2;-0.2597;0.298;0.3834;;0.771
Световые приборы;ITS-NegBin;изменение тренда β3;-0.0249;0.0096;0.0094;***;0.975
Все нарушения;ITS-OLS/NW;скачок уровня β2;-37.2441;18.3052;0.0419;**;
Все нарушения;ITS-OLS/NW;изменение тренда β3;-4.7924;0.783;0.0;***;
Все нарушения;ITS-Poisson;скачок уровня β2;-0.0848;0.0351;0.0158;**;0.919
Все нарушения;ITS-Poisson;изменение тренда β3;-0.01;0.0017;0.0;***;0.99
Все нарушения;ITS-NegBin;скачок уровня β2;-0.0813;0.0379;0.0319;**;0.922
Все нарушения;ITS-NegBin;изменение тренда β3;-0.01;0.0017;0.0;***;0.99
