cut;b;lo;hi;p;b_rel;p_rel
2026-04-15;0.2933006691682538;-0.11138883343479289;0.6979901717713005;0.15545650887131365;0.0884565310218869;0.6240180354779359
2026-04-16;0.3320135789505184;-0.0656352309770103;0.7296623888780471;0.10173796367293891;0.11815740220239136;0.4841797891300561
2026-04-17;0.4491678501063363;0.07891520374881333;0.8194204964638593;0.017418534451475162;0.2392669439868051;0.12875684775701154
2026-04-18;0.49995508186650023;0.1413794619486094;0.8585307017843911;0.006280030992334351;0.2980658156670226;0.044843339872848796
2026-04-19;0.5246659223321055;0.15459578162945098;0.89473606303476;0.005456269296611569;0.3128510102985555;0.037212296182730885
2026-04-20;0.5188366493728669;0.11309384843623183;0.924579450309502;0.012199640027385316;0.30726970379905616;0.05606476787003395
2026-04-21;0.5947175749686384;0.2153703063067921;0.9740648436304847;0.0021208274022525174;0.3721164671531912;0.010786993555783997
2026-04-22;0.6592432358191612;0.2895777199497788;1.0289087516885436;0.00047340985851884276;0.45753617017852144;0.0004832831432673566
2026-04-23;0.673390187924945;0.28654346662898056;1.0602369092209094;0.0006453475601765526;0.47579455271618015;0.00044623239700370386
2026-04-24;0.7514477084044032;0.3965291060330033;1.1063663107758033;3.327810855318789e-05;0.5437032380375781;1.7344367748080938e-05
2026-04-25;0.6484944024812717;0.19382650054542128;1.103162304417122;0.0051810719617533165;0.42879558448130245;0.02023937970996978
2026-04-26;0.7115590951900044;0.2921843528014881;1.1309338375785207;0.0008824113722690455;0.5001642339619845;0.0019158872625286583
2026-04-27;0.807440834602498;0.43732388375127146;1.1775577854537247;1.9036443525687018e-05;0.5789053922385633;4.421558806039744e-05
2026-04-28;0.8513552067860081;0.4945014988898672;1.2082089146821489;2.924915786574718e-06;0.5775979533080424;0.00011776246244622339
2026-04-29;0.9101043777460947;0.5674185199360606;1.2527902355561287;1.936168477594777e-07;0.5977164328372073;7.425313465061438e-05
2026-04-30;0.8797280618101835;0.5031128490722452;1.2563432745481218;4.687131225782684e-06;0.5701154811468325;0.0007948619623130166
2026-05-01;0.8008377860784488;0.3424635351338772;1.2592120370230204;0.000616231406642576;0.5206518446306517;0.007480251187367413
2026-05-02;0.8039237182666387;0.35023173792082496;1.2576156986124523;0.0005145982642681422;0.6176456584290254;1.721317554736991e-05
2026-05-03;0.8444147626483599;0.41778669041327;1.27104283488345;0.00010472251933624136;0.6709106695991315;3.071688942067944e-07
2026-05-04;0.8411284625863178;0.40363169092281487;1.2786252342498208;0.00016437407957920426;0.672097760819442;3.0014280106781625e-07
2026-05-05;0.8044302096680933;0.3323374891026771;1.2765229302335095;0.0008384645416835775;0.613668014604723;9.624349632049597e-05
2026-05-06;0.8063527092063174;0.33759728229163166;1.2751081361210033;0.0007473549969908664;0.5942434107040693;0.00044520950988284315
2026-05-07;0.8083512434318155;0.35234381957038724;1.2643586672932439;0.0005119291913371443;0.5762739054183671;0.0011684299325104355
2026-05-08;0.8050311019879971;0.36580200098940163;1.2442602029865926;0.00032771989430837776;0.5628049320966856;0.0017743762590417451
2026-05-09;0.7463776661042492;0.27625698267638654;1.2164983495321118;0.001859789922334744;0.49944307573356395;0.016504299279012216
2026-05-10;0.7655240176513876;0.3240525517223272;1.206995483580448;0.0006770805865018153;0.5332572570612448;0.004297939377274463
2026-05-11;0.7684714106901379;0.34040144972711034;1.1965413716531654;0.00043384173708957093;0.5373789690723306;0.0030161869845790027
2026-05-12;0.7760149682624699;0.3754186798697219;1.1766112566552178;0.0001465680582293457;0.5747940464242173;0.0002748017694943432
2026-05-13;0.8387639981335936;0.49290127036242537;1.1846267259047618;2.0015704186486643e-06;0.6125560087273735;2.466756247842369e-05
2026-05-14;0.8487320704696276;0.5362798113066137;1.1611843296326416;1.0147590446619368e-07;0.59108364657298;1.2759171574347526e-05
2026-05-15;0.7992984584777871;0.499211091466672;1.0993858254889024;1.7838009568485934e-07;0.5411704456116296;3.76691016771152e-05
2026-05-16;0.7267939574414731;0.4102848235119719;1.0433030913709744;6.77265209168559e-06;0.47685484306147;0.0005837200059108991
2026-05-17;0.6652956297202913;0.3175242414562008;1.013067017984382;0.00017716593529321174;0.4298635346789867;0.0040589872699383495
2026-05-18;0.6393268523869451;0.2839679551019146;0.9946857496719756;0.00042150537814568287;0.4225732725805113;0.004009038682058009
2026-05-19;0.5554651464003224;0.15849569126012075;0.9524346015405241;0.006096271450651908;0.3549266402337423;0.028614293305016386
2026-05-20;0.47217821553806033;0.03174550236139112;0.9126109287147295;0.03561702162713609;0.2984489430232618;0.08294598187933294
2026-05-21;0.3822506062495396;-0.10095810966784124;0.8654593221669205;0.12102350200346354;0.22878059433403483;0.21459425647954267
2026-05-22;0.3769908505724409;-0.07643893098204735;0.8304206321269292;0.10318937829872951;0.2205966738126974;0.21054046082506073
2026-05-23;0.3059145925996478;-0.1578047685993964;0.769633953798692;0.1960084729278181;0.16418894902263803;0.3603646923240744
2026-05-24;0.2869688298661634;-0.16300403505852123;0.736941694790848;0.2113053719094079;0.16018193527084063;0.3517931695989184
2026-05-25;0.26807622355568056;-0.17426369247740425;0.7104161395887654;0.2348961381213901;0.14946265821974736;0.37884427973957924
